epoch,loss,val_loss
0,1693.17728345,79.364460144
1,234.532724121,19.2794086456
2,107.007579102,12.9806177139
3,104.525675232,10.5057831001
4,59.8033731995,11.7234178162
5,82.7594384766,11.4296511459
6,47.5361683655,9.74616823196
7,44.6434092712,9.55141740799
8,41.0205920105,9.62840244293
9,46.4804483032,9.40191301346
10,32.7183813629,9.7762238884
11,30.0191584015,9.28574790955
12,54.7695881042,9.07712659836
13,27.6179991455,9.116941185
14,27.2145226288,9.39422977448
15,26.0761161957,9.17501497269
16,24.6310164032,9.57468126297
17,27.7194347839,12.2354681015
18,31.469084671,9.47933288574
19,21.9406773834,8.86117015839
20,24.2137334442,12.5290612411
21,33.3994685822,8.75004365921
22,20.0891878815,8.64302732468
23,22.3914885254,8.45511991501
24,19.3129102631,8.60449935913
25,19.0868723984,8.23411945343
26,20.2980541992,9.29596281052
27,26.2743229218,7.96500816345
28,19.2442633514,7.78589826584
29,18.193961441,7.83184951782
30,22.0519202728,8.12075950623
31,16.773128067,7.58193458557
32,20.921415329,7.62155611038
33,17.798448143,7.93912244797
34,16.069509346,7.56802335739
35,16.6026591568,7.52110227585
36,17.0387743073,7.21311531067
37,16.4957492142,7.17910903931
38,15.3467546005,7.98130475998
39,16.6011563187,7.20198377609
40,14.9787834244,7.14448707581
41,16.1594510117,6.81914474487
42,15.8057503128,6.65430381775
43,13.9250396118,6.37134660721
44,18.5709126892,6.92075416565
45,16.1723869781,6.86173606873
46,14.648500267,6.38441301346
47,14.9105806732,6.17422813416
48,13.5529318314,6.04815683365
49,15.3448637314,6.15986419678
50,14.2667587967,6.42245231628
51,14.1924682999,5.91337770462
52,12.6757348251,5.87901771545
53,12.2919605484,5.9331883049
54,14.8965013733,6.85039381027
55,12.6607533951,5.86112052917
56,14.8719904404,5.8900299263
57,13.5173819504,5.77523679733
58,13.7206006241,5.70044996262
59,12.9530394669,5.43715513229
60,12.5425275497,5.68011421204
61,14.1354343491,5.63300140381
62,14.1848513718,5.84454511642
63,11.4422639999,5.40543503761
64,11.7148048439,5.43373733521
65,11.8074865799,5.39004393578
66,16.2081082611,5.547345438
67,11.7058080368,5.10763884544
68,12.2247415848,5.60677212715
69,11.0464074326,5.126581707
70,14.7753280487,5.20297057152
71,10.9163026237,5.17070326805
72,10.7366792068,4.9726448822
73,11.0230077209,4.84887878418
74,10.6333673172,4.96822775841
75,10.7234411697,4.79640067101
76,10.6130853195,4.71369760513
77,12.8147797241,4.71695587158
78,12.4339610519,4.78487265587
79,11.5929231796,5.05711836815
80,10.0615336723,4.58998317719
81,11.4660558853,4.67411566734
82,10.0777440643,4.46092954636
83,11.0570712051,4.42088837624
84,13.1214081192,4.52035648346
85,12.8263111954,4.4322328949
86,9.64746429825,4.45085073471
87,9.81038034058,4.14064209938
88,9.75766666412,4.78702253342
89,11.3469293213,4.48773636818
90,10.3380609512,4.35018691063
91,9.36582113647,3.95632711411
92,9.42139510345,4.3844233799
93,11.7308575668,4.24720175743
94,9.64165540314,4.06607842445
95,10.5013980827,3.94218967438
96,9.19551022339,4.02506679535
97,10.3904215508,3.89051638603
98,8.91642638397,4.08159323692
99,8.63551013184,3.69286327362
100,10.6848275223,4.13119920731
101,8.77391044235,3.76242499352
102,9.35968305206,3.66060553551
103,9.74243557358,3.96180026054
104,9.81653388214,4.15252923012
105,8.93519862747,3.52303783417
106,8.52795125198,3.726252985
107,8.26666453171,3.48269290924
108,11.3459995956,3.93214096069
109,8.79414357376,3.86680788994
110,8.40051100922,3.74189727783
111,8.26525031281,3.39276996613
112,8.19161522675,3.34115574837
113,10.6397536697,3.77244972229
114,9.20633343124,3.41654820442
115,9.12262445831,3.59155483246
116,9.33313668823,3.30438606262
117,8.09531994629,3.26235214233
118,8.60738133621,3.43456858635
119,8.79839837646,3.16347270966
