epoch,loss,val_loss
0,728.961419525,53.3206699219
1,60.2979220581,51.1983423767
2,53.2007498474,48.2781729431
3,51.1712602539,47.7803753967
4,49.5496714783,46.9130890503
5,48.7359743652,46.5989480591
6,48.1725166931,46.9901114197
7,47.8870440979,46.4385479431
8,48.5268467712,47.6108361816
9,50.3467513123,45.5912644043
10,48.5847706604,48.1096911011
11,47.7484747009,46.2205960999
12,47.6021208496,45.1904144592
13,46.580127533,44.7574085999
14,46.2148284302,44.3020543823
15,45.6233226624,43.8202346802
16,44.8474504395,43.2997697754
17,46.1496663513,46.9384608765
18,46.3309488831,44.3334846191
19,44.8637888794,42.6339602661
20,43.6211946411,41.3937096558
21,42.641888916,40.8441495056
22,42.299305481,39.6164153442
23,41.3372462769,39.541290863
24,40.5001888733,38.3791369171
25,41.4216429749,38.1058710785
26,39.5113769684,36.1620094757
27,38.0841611786,35.7211564789
28,37.0727843781,34.6029477386
29,36.6183257446,33.9491465607
30,37.0257966919,34.802564209
31,35.8871611176,34.4306621552
32,35.3126382294,32.1801271515
33,34.4903563995,31.6750675507
34,33.6611313629,32.952713623
35,35.3897751923,34.2761278839
36,35.0456928864,31.7505380402
37,33.8483582001,31.0039854431
38,33.0998876495,30.1372978516
39,31.9794004364,28.9706762695
40,31.5229426117,28.7036033478
41,30.9141769714,28.3567541962
42,30.5006662903,28.0819571838
43,30.663598053,29.6471109314
44,30.8086141052,28.7058893585
45,30.1738598175,27.7565000763
46,29.6348799133,27.9918511047
47,29.3487585144,27.2182578125
48,29.2518605957,26.730943161
49,29.0872256317,27.4898735046
50,29.375809494,26.3459433136
51,28.6192331085,26.1393245392
52,28.1864724121,25.8472494202
53,28.4467932587,26.0952331085
54,28.2299058075,26.3154290314
55,28.8850028992,26.2070101624
56,28.3143332977,25.5776305237
57,27.6438102264,25.4475895691
58,27.2859096985,24.8967544708
59,27.1847745056,25.0442924042
60,27.3236963196,24.8753612518
61,26.570664093,24.1094059296
62,26.5145053253,24.5470852051
63,26.4476613007,24.171780838
64,26.2031921082,23.9022722473
65,25.6522982483,23.364981369
66,25.4280557556,22.9230243378
67,25.6670320587,23.5816687927
68,26.2956376495,26.0384976044
69,27.5419545593,24.0650248108
70,25.7808528595,23.2582481689
71,24.7613205261,21.8897485352
72,24.3582449493,21.7228567657
73,23.6729478455,20.8535457001
74,23.7832070007,21.856047699
75,24.2970435028,21.6996464081
76,25.3456382599,21.7522300568
77,23.6410098419,20.3829807587
78,23.1515140839,20.6134106903
79,22.8673951874,21.043430954
80,23.565396698,20.6315101318
81,22.5361361084,19.3219563217
82,22.0022305145,18.7961646805
83,22.825926178,20.4125164337
84,23.6367406769,22.0406971436
85,22.0437718811,19.0267906265
86,20.8153833466,18.112000267
87,21.6005443573,20.0338788605
88,21.4784463806,19.4109040756
89,21.5025240021,19.6956820068
90,20.9991969757,20.0091492157
91,23.6025146942,18.5904027328
92,25.2105655212,21.2041003876
93,25.0995000458,21.9181246643
94,24.1930454865,20.4033997498
95,22.4481937714,19.5840246887
96,21.1921754608,16.761067421
97,19.8321862564,17.0056618271
98,19.6225288544,18.3590736313
99,20.7274553986,17.0689462967
100,21.8644500275,17.1393267593
